time_stamp,event,user_name,ip_address,access,server,nb_queued_requests_on_server,error
2025-08-06 18:28:32.101803,gen_done,testuser,127.0.0.1,Authorized,robusto,0,
2025-08-06 18:29:20.515537,gen_request,testuser,127.0.0.1,Authorized,robusto,0,
2025-08-06 18:29:20.515878,gen_error,testuser,127.0.0.1,Authorized,robusto,1,list index out of range
2025-08-06 18:29:20.515995,gen_done,testuser,127.0.0.1,Authorized,robusto,0,
2025-08-06 18:31:06.166794,gen_request,testuser,127.0.0.1,Authorized,robusto,0,
2025-08-06 18:31:06.167365,gen_error,testuser,127.0.0.1,Authorized,robusto,1,list index out of range
2025-08-06 18:31:06.167485,gen_done,testuser,127.0.0.1,Authorized,robusto,0,
2025-08-06 20:29:21.830849,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:21.838488,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:23.072692,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:23.072928,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:23.077728,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:23.079288,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:26.072039,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:26.076054,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:26.081331,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:26.084941,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:29.029783,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:29.032550,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:29.059606,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:29.062204,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:32.041532,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:32.041579,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:32.043371,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:32.043807,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:35.051308,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:35.051411,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:35.054212,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:35.054895,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:38.120896,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:38.121662,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:38.125023,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:38.125108,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:41.098858,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:41.098920,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:41.101520,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:41.101561,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:44.103734,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:44.103963,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:44.108970,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:44.109126,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:47.134339,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:47.134456,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:47.136382,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:47.137067,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:50.176744,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:50.177499,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:50.183603,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:50.185223,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:53.177775,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:53.177849,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:53.182702,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:53.182784,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:56.335302,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:56.340157,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:56.353962,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:56.358061,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:59.349043,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:59.352910,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:59.385837,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:29:59.389891,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:02.360286,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:02.362246,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:02.363847,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:02.365311,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:05.347793,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:05.350986,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:05.399832,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:05.403196,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:08.366416,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:08.367841,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:08.370199,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:08.371176,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:09.140177,gen_request,testuser,127.0.0.1,Authorized,robusto,0,
2025-08-06 20:30:09.140922,gen_error,testuser,127.0.0.1,Authorized,robusto,1,list index out of range
2025-08-06 20:30:09.141041,gen_done,testuser,127.0.0.1,Authorized,robusto,0,
2025-08-06 20:30:11.341388,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:11.344528,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:11.386900,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:11.390286,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:14.373170,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:14.374069,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:14.375904,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:14.376851,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:17.389183,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:17.389264,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:17.392207,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:17.393449,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:20.410908,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:20.415445,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:20.416739,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:20.420244,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:23.400423,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:23.400542,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
